"state","county","geoid","top_5_count"
"California","Mono","06051","10"
"California","Inyo","06027","8"
"Arizona","Pinal","04021","6"
"California","Riverside","06065","3"
"New Mexico","Luna","35029","2"
"Arizona","Yuma","04027","2"
"Washington","Benton","53005","2"
"California","Kings","06031","1"
"Colorado","Prowers","08099","1"
"California","Butte","06007","1"
"Montana","Missoula","30063","1"
"Idaho","Bannock","16005","1"
"Washington","Walla Walla","53071","1"
"South Dakota","Brown","46013","1"
"California","Ventura","06111","1"
"New Mexico","Bernalillo","35001","1"
"Nevada","Washoe","32031","1"
"California","Kern","06029","1"
"California","Imperial","06025","1"
"Washington","Okanogan","53047","1"
"Wyoming","Platte","56031","1"
"Wyoming","Uinta","56041","1"
"California","Trinity","06105","1"
"Wyoming","Sweetwater","56037","1"
