"state","county","year","median_aqi","lat","lng","population"
"California","San Bernardino",2018,88,"34.8414","-116.1785",2180563
"California","Riverside",2018,87,"33.7436","-115.9938",2429487
"California","Kern",2018,84,"35.3426","-118.7301",906883
"California","Los Angeles",2018,77,"34.3219","-118.2247",9936690
"California","Tulare",2018,77,"36.2202","-118.8005",473446
"California","San Bernardino",2019,80,"34.8414","-116.1785",2180563
"California","Riverside",2019,77,"33.7436","-115.9938",2429487
"California","Los Angeles",2019,71,"34.3219","-118.2247",9936690
"California","Kern",2019,67,"35.3426","-118.7301",906883
"California","Tulare",2019,66,"36.2202","-118.8005",473446
"Arizona","Maricopa",2020,112,"33.349","-112.4915",4430871
"California","San Bernardino",2020,93,"34.8414","-116.1785",2180563
"California","Riverside",2020,87,"33.7436","-115.9938",2429487
"California","Los Angeles",2020,83,"34.3219","-118.2247",9936690
"California","Kern",2020,81,"35.3426","-118.7301",906883
"Arizona","Maricopa",2021,122,"33.349","-112.4915",4430871
"California","San Bernardino",2021,87,"34.8414","-116.1785",2180563
"California","Riverside",2021,87,"33.7436","-115.9938",2429487
"California","Kern",2021,84,"35.3426","-118.7301",906883
"California","Tulare",2021,80,"36.2202","-118.8005",473446
"California","Kern",2022,80,"35.3426","-118.7301",906883
"California","Riverside",2022,77,"33.7436","-115.9938",2429487
"California","San Bernardino",2022,77,"34.8414","-116.1785",2180563
"California","Tulare",2022,76,"36.2202","-118.8005",473446
"Arizona","Maricopa",2022,74,"33.349","-112.4915",4430871
"California","Riverside",2023,74,"33.7436","-115.9938",2429487
"New Mexico","Bernalillo",2023,67,"35.0514","-106.6702",674692
"Arizona","Maricopa",2023,67,"33.349","-112.4915",4430871
"Nevada","Clark",2023,64,"36.2152","-115.0135",2265926
"California","San Bernardino",2023,64,"34.8414","-116.1785",2180563
